BGGId,Name,Year,Weight,AvgRating,MinPlayers,MaxPlayers,NumRatings,Kickstarted,Rank,Category
161995,Hexemonia,2014,2.6429,6.4094,2,4,234,0,7188,Strategy
162007,Steampunk Rally,2015,2.5897,7.20684,2,8,6087,1,594,Strategy
162009,The U.S. Civil War,2015,3.8154,8.23644,2,2,576,0,2020,War
162012,GembloQ,2014,1.3333,6.62333,2,4,70,0,11123,Thematic
162022,6 nimmt! Schnupperspiel,1994,0.0,7.06471,2,4,34,0,13222,Thematic
162038,Private Die,2016,1.3333,6.51019,2,6,54,1,13899,Thematic
162041,Ninja Taisen,2014,1.4211,6.38231,2,2,467,0,5191,Thematic
162070,Populi Turolii,2014,1.0,6.25333,3,8,38,0,15441,Thematic
162071,Vaults,2015,2.375,5.63877,2,4,138,1,18832,Thematic
162082,Deus,2014,2.8554,7.31325,2,4,7734,0,417,Strategy
162093,I Hate Zombies,2015,1.0345,5.20264,2,12,522,1,21287,Party
162107,Doodle City,2014,1.4,6.3117,1,6,846,0,4119,Family
162114,Hamsterbacke,2014,1.25,6.56454,3,5,262,0,6045,Family
162120,Schraube Locker,2014,1.0,5.91071,2,4,56,0,15713,Thematic
162141,Swedish Parliament 2014,2014,3.0,6.866,1,8,50,0,11361,Thematic
162152,Ciúb,2014,1.9167,6.13425,2,4,525,0,6039,Family
162191,Schau mal!,2012,1.25,6.17493,2,6,130,0,10386,Thematic
162223,Mood X,2014,1.3333,5.74808,4,8,78,0,16536,Thematic
162263,Temporum,2014,2.14,6.37214,2,5,1025,0,3645,Strategy
162286,Super Motherload,2015,2.2833,7.37858,2,4,3532,0,670,Strategy
162288,Nightlight,2014,1.1429,6.04955,1,4,66,1,15314,Thematic
162292,The Draugr,2014,1.8571,6.40171,1,1,201,0,7980,Thematic
162295,Zik,2014,1.0,6.44056,3,16,36,0,14550,Thematic
162315,Mouse Guard: Swords & Strongholds,2015,1.375,7.00453,2,2,243,1,5540,Abstract
162351,Shadows Over Normandie: Achtung! Cthulhu,2015,2.7857,7.25681,2,3,326,1,4630,War
162367,Co-Mix,2014,1.125,6.00589,3,10,295,0,8736,Party
162378,Holiday Fluxx,2014,1.125,6.27126,2,5,446,0,6093,Thematic
162383,"Festung Europa: The Campaign for Western Europe, 1943-1945",2016,3.0,6.95699,2,2,93,0,8781,War
162384,Imperial Stars II,2014,2.5,7.16482,2,2,114,0,7432,War
162388,BattleCON: Fate of Indines,2015,3.2273,7.91384,2,2,729,1,1763,Strategy
162391,Archaeologia,2014,2.1667,6.68515,2,4,101,0,9097,Family
162476,Masmorra de DADOS,2014,2.3636,6.94401,2,5,142,1,8117,Family
162480,Rise of the Kage,2015,3.2222,6.7053,2,4,132,1,9011,Thematic
162559,Smash Up: Munchkin,2015,2.1786,6.59333,2,4,1413,0,2732,Strategy
162571,PBL Robots,2015,1.6,5.31905,2,3,42,1,19353,Thematic
162578,Collapse,2015,2.3333,6.28529,2,4,68,1,13607,Thematic
162580,Realm of Wonder,2014,2.1905,6.0119,2,6,461,0,8662,Thematic
162591,Heroes,2015,2.3077,6.0877,2,4,446,0,7104,Thematic
162614,Santa's Bag,2014,1.3333,6.04608,2,8,125,0,12786,Thematic
162654,Villannex,2014,1.4,5.74532,1,4,139,0,14727,Thematic
162660,Secret Moon,2014,1.1818,5.72953,5,8,264,0,13248,Thematic
